data_base,cnpj_raiz,nome_instituicao,ente_destino,conta,saldo,arquivo,linha_arquivo,sha256_arquivo
202510,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,1093163723.75,202510BANCOS.CSV,1202,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5
202511,28127603,BCO BANESTES S.A.,Municipios,9090900001,485305858.09,202511BANCOS.CSV,21490,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,60826750184.84,202511BANCOS.CSV,598,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,22014558271.27,202511BANCOS.CSV,599,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,203949903.75,202511BANCOS.CSV,16563,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13721887.85,202511BANCOS.CSV,16564,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202511BANCOS.CSV,49816,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,113653778.76,202511BANCOS.CSV,49817,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,5823679136.79,202511BANCOS.CSV,1085,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1786285111.23,202511BANCOS.CSV,1086,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,380964688742.96,202511BANCOS.CSV,1670,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5406744629.7,202511BANCOS.CSV,1671,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202511,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,1057584862.28,202511BANCOS.CSV,1672,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709
202512,28127603,BCO BANESTES S.A.,Municipios,9090900001,428087647.06,202512BANCOS.CSV,21019,d9a39a4dae6db567e09546bf32e94f2796ce6746353b8b2651934e2e2b2611af
202512,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,60808518747.66,202512BANCOS.CSV,594,d9a39a4dae6db567e09546bf32e94f2796ce6746353b8b2651934e2e2b2611af
202512,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,22099443580.67,202512BANCOS.CSV,595,d9a39a4dae6db567e09546bf32e94f2796ce6746353b8b2651934e2e2b2611af
