data_base,cnpj_raiz,nome_instituicao,conta,nome_conta,saldo,arquivo,linha_arquivo,sha256_arquivo,fonte
202502,13009717,BCO DO EST. DE SE S.A.,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,222921620.2,202502BANCOS.CSV,16283,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,13009717,BCO DO EST. DE SE S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,13406813.68,202502BANCOS.CSV,16284,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,04913711,BCO DO EST. DO PA S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,517157.21,202502BANCOS.CSV,9897,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,04913711,BCO DO EST. DO PA S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-606.44,202502BANCOS.CSV,10019,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,92702067,BCO DO ESTADO DO RS S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,8556459390.21,202502BANCOS.CSV,49378,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,92702067,BCO DO ESTADO DO RS S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-112900890.81,202502BANCOS.CSV,49545,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,92702067,BCO DO ESTADO DO RS S.A.,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,10378683442.94,202502BANCOS.CSV,49629,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,92702067,BCO DO ESTADO DO RS S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,115816752.45,202502BANCOS.CSV,49630,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,07237373,BCO DO NORDESTE DO BRASIL S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,204190532.64,202502BANCOS.CSV,11128,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,07237373,BCO DO NORDESTE DO BRASIL S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-2411158.74,202502BANCOS.CSV,11276,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,17184037,BCO MERCANTIL DO BRASIL S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,814448.19,202502BANCOS.CSV,18567,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,17184037,BCO MERCANTIL DO BRASIL S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-2227.76,202502BANCOS.CSV,18693,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,90400888,BCO SANTANDER (BRASIL) S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,128907750.58,202502BANCOS.CSV,48491,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,90400888,BCO SANTANDER (BRASIL) S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-1629177.45,202502BANCOS.CSV,48696,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000208,BRB - BCO DE BRASILIA S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,17276582376.32,202502BANCOS.CSV,843,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000208,BRB - BCO DE BRASILIA S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-201623500.84,202502BANCOS.CSV,973,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000208,BRB - BCO DE BRASILIA S.A.,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,3585600929.23,202502BANCOS.CSV,1056,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00000208,BRB - BCO DE BRASILIA S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,1524557755.91,202502BANCOS.CSV,1057,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00360305,CAIXA ECONOMICA FEDERAL,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,111375341182.39,202502BANCOS.CSV,1351,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00360305,CAIXA ECONOMICA FEDERAL,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-1627874174.88,202502BANCOS.CSV,1538,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00360305,CAIXA ECONOMICA FEDERAL,9090700005,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS À UNIÃO,355400202579.91,202502BANCOS.CSV,1635,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
202502,00360305,CAIXA ECONOMICA FEDERAL,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,5244789448.97,202502BANCOS.CSV,1636,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,BCB balancete doc. 4010
